xpos,ypos,distpinx,distpiny,distpin,distfrx,distfry,distfr,ditpinfrx,predpin,coinc1,strat1,strat2,Voto1,VotoPF,VotoPE,MBP22_A,MBP22_B,MBP22_C,MBP22_D,MBP22_E,MBP22_F,MBP02,MBP03,MBP04,MBP05,MBP07,MBP15,MBP21_A,MBP21_B,MBP21_C,MBP21_D,correct,correct2,NSE,vote
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,1,4,1,4,2,2,2,2,2,1,2,2,2,3,1,5,4,5,3,1,1,1,3,1
0.412592305,-1.778295559,0.593791886,0.093394026,0.601091713,0.148196577,1.366029277,1.374044472,0.445595309,1,0,1,0,4,5,4,3,3,3,2,1,2,4,1,4,1,1,3,10,10,5,5,0,0,3,0
-0.081746012,0.231174413,1.088130202,1.916075946,2.203491404,0.346141739,0.643440695,0.73063673,0.741988463,1,1,0,0,1,1,1,2,2,2,1,1,1,4,1,2,1,1,1,1,6,5,4,0,0,2,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,0,4,5,4,2,1,2,2,1,1,2,2,2,3,1,2,5,10,1,1,1,0,3,0
-0.640021375,-0.506431152,1.646405565,1.178470381,2.024708306,0.904417102,0.09416487,0.909305954,0.741988463,1,1,0,0,1,1,1,2,2,2,1,1,1,3,2,1,2,1,2,5,7,3,88,0,0,3,1
0.72870745,-0.282155434,0.27767674,1.402746099,1.429965381,0.464311723,0.130110848,0.482197272,-0.186634983,0,0,0,0,1,1,1,1,1,1,1,1,1,3,2,3,2,1,1,88,88,88,88,0,0,2,1
-0.24799182,0.358285934,1.254376011,2.043187467,2.397514171,0.512387548,0.770552216,0.925360318,0.741988463,1,0,0,0,2,2,4,3,3,2,3,3,1,3,2,3,3,1,2,5,6,3,2,1,1,2,0
0.169191547,-0.1297499,0.837192643,1.555151633,1.766178962,0.09520418,0.282516382,0.298126387,0.741988463,1,0,1,1,4,1,4,3,2,2,2,1,1,3,1,3,2,1,3,4,8,6,1,1,0,3,1
0.768083397,0.146059051,0.238300793,1.830960584,1.84640297,0.50368767,0.558325333,0.751949763,-0.265386877,0,0,0,0,1,1,1,3,3,2,2,1,1,3,2,2,3,3,5,4,7,4,3,1,0,2,1
-0.945153793,-0.298991731,1.951537983,1.385909803,2.393584442,1.20954952,0.113274552,1.214842033,0.741988463,1,0,1,0,4,2,4,2,2,2,2,2,1,4,1,3,3,1,3,5,9,3,3,1,0,3,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,1,4,1,4,2,1,3,2,1,1,3,2,4,3,1,5,2,8,4,88,0,0,2,1
1.982516626,0.129164261,0.976132436,1.814065794,2.060016805,1.718120899,0.541430543,1.80141235,-0.741988463,0,0,0,0,1,1,1,2,3,3,2,1,1,3,1,3,3,3,1,5,8,5,2,1,0,2,1
1.396422335,0.398495116,0.390038145,2.083396649,2.119592261,1.132026608,0.810761398,1.392414552,-0.741988463,0,0,0,0,2,2,1,2,2,1,2,1,1,3,8,2,2,1,2,6,4,5,4,0,0,3,0
-0.953192325,-0.114267408,1.959576515,1.570634126,2.511340613,1.217588052,0.297998875,1.253524628,0.741988463,1,0,1,0,4,2,4,2,2,2,2,1,1,3,1,3,2,1,2,6,10,4,1,1,1,3,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,2,2,5,1,1,1,2,1,2,4,1,4,1,1,2,3,10,4,88,0,0,3,0
-0.749139016,0.133366812,1.755523206,1.818268346,2.527441691,1.013534743,0.545633095,1.151072608,0.741988463,1,0,0,0,2,2,5,1,2,1,1,2,1,3,2,3,2,2,2,2,10,4,5,0,0,3,0
0.652948577,0.150711939,0.353435613,1.835613472,1.869329707,0.38855285,0.562978221,0.68404517,-0.035117236,0,0,1,1,4,1,4,1,1,1,1,1,1,2,2,4,3,1,1,4,7,7,5,0,0,2,1
-0.150569046,-0.173667187,1.156953237,1.511234347,1.90325249,0.414964774,0.238599096,0.478670337,0.741988463,1,0,1,1,4,1,4,2,2,2,3,1,1,4,1,3,2,1,2,5,6,5,5,0,0,2,1
0.912841535,-1.581749735,0.093542655,0.103151799,0.139249854,0.648445807,1.169483452,1.337226051,-0.554903152,0,0,0,0,1,1,1,3,2,2,1,1,2,3,1,2,1,2,1,4,7,2,1,1,1,3,1
0.244484666,0.036898633,0.761899524,1.721800166,1.882840061,0.019911061,0.449164915,0.449606018,0.741988463,1,0,1,0,4,2,4,2,2,2,2,1,1,2,2,3,2,1,2,7,10,6,5,1,1,2,0
1.264578275,0.041565905,0.258194084,1.726467438,1.745667207,1.000182547,0.453832187,1.098329997,-0.741988463,0,0,0,0,1,1,1,2,2,1,1,1,1,3,2,3,2,1,5,3,8,4,2,1,0,2,1
0.412592305,-1.778295559,0.593791886,0.093394026,0.601091713,0.148196577,1.366029277,1.374044472,0.445595309,1,0,1,0,4,5,4,1,1,1,1,1,1,2,1,3,2,1,2,7,10,3,1,1,1,3,0
0.217136726,-0.468670794,0.789247464,1.21623074,1.449871985,0.047259001,0.056404511,0.073585882,0.741988463,1,0,0,0,2,2,5,3,3,2,2,1,9,2,1,3,2,1,2,4,10,10,4,0,0,2,0
